sep=;
Time of day;Time (s);LabSmith_4AM01:  1:P23037 (kPa); 1:Comp. Temp (C); 2:P23038 (kPa); 2:Comp. Temp (C);
12:55:01;0;59.845;19.429;41.652;20.602;
12:55:02;1;63.926;19.432;41.382;20.603;
12:55:03;2.016;61.876;19.432;41.564;20.603;
12:55:04;3.032;61.149;19.429;42.924;20.602;
12:55:05;4.032;62.252;19.433;39.982;20.604;
12:55:06;5.047;64.054;19.433;41.706;20.604;
12:55:07;6.047;63.285;19.431;40.488;20.604;
12:55:08;7.047;60.888;19.433;43.015;20.607;
12:55:09;8.063;63.189;19.430;42.297;20.607;
12:55:10;9.079;62.665;19.430;40.453;20.607;
12:55:11;10.079;61.925;19.431;43.076;20.610;
12:55:12;11.094;64.819;19.429;42.073;20.610;
12:55:13;12.094;61.594;19.429;43.206;20.610;
12:55:14;13.11;64.002;19.428;42.500;20.612;
12:55:15;14.125;62.719;19.430;41.033;20.613;
12:55:16;15.141;61.411;19.427;43.291;20.613;
12:55:17;16.141;62.903;19.427;42.190;20.613;
12:55:18;17.141;62.606;19.431;41.006;20.615;
12:55:19;18.157;61.541;19.431;43.372;20.615;
12:55:20;19.172;64.859;19.431;41.951;20.615;
12:55:21;20.172;61.708;19.435;41.529;20.618;
12:55:22;21.172;60.555;19.433;42.566;20.618;
12:55:23;22.188;65.135;19.433;43.253;20.618;
12:55:24;23.204;60.046;19.432;41.662;20.620;
12:55:25;24.219;65.243;19.435;41.700;20.622;
12:55:26;25.219;63.306;19.435;43.374;20.623;
12:55:27;26.235;61.725;19.435;41.362;20.623;
12:55:28;27.25;64.774;19.438;42.792;20.628;
12:55:29;28.266;65.723;19.435;42.629;20.629;
12:55:30;29.266;61.808;19.435;41.664;20.629;
12:55:31;30.282;61.435;19.434;43.239;20.631;
12:55:32;31.282;65.587;19.436;42.654;20.633;
12:55:33;32.297;60.423;19.435;41.336;20.633;
12:55:34;33.313;64.152;19.435;41.607;20.633;
12:55:35;34.329;64.868;19.439;44.620;20.637;
12:55:36;35.344;59.100;19.439;40.981;20.637;
12:55:37;36.344;65.496;19.436;41.838;20.638;
12:55:38;37.36;65.048;19.436;42.367;20.638;
12:55:39;38.375;64.350;19.435;41.429;20.641;
12:55:40;39.391;61.051;19.437;43.211;20.643;
12:55:41;40.391;64.054;19.437;42.731;20.645;
12:55:42;41.407;64.273;19.437;41.090;20.645;
12:55:43;42.422;65.915;19.441;42.740;20.649;
12:55:44;43.438;63.444;19.440;43.627;20.651;
12:55:45;44.438;59.528;19.440;41.588;20.651;
12:55:46;45.454;66.629;19.438;43.071;20.653;
12:55:47;46.469;62.121;19.442;40.879;20.656;
12:55:48;47.485;52.959;19.442;37.014;20.657;
12:55:49;48.485;54.675;19.442;35.238;20.657;
12:55:50;49.5;49.872;19.444;32.436;20.661;
12:55:51;50.516;47.242;19.445;31.637;20.662;
12:55:52;51.516;46.398;19.445;34.348;20.662;
12:55:53;52.516;46.520;19.445;31.883;20.663;
12:55:54;53.532;46.721;19.453;30.222;20.666;
12:55:55;54.547;47.614;19.453;30.793;20.666;
12:55:56;55.547;48.046;19.454;30.375;20.669;
