sep=;
Time of day;Time (s);LabSmith_4AM01:  1:P23037 (kPa); 1:Comp. Temp (C); 2:P23038 (kPa); 2:Comp. Temp (C);
18:26:07;0;41.842;20.005;28.459;21.370;
18:26:08;1.015;43.268;20.005;28.828;21.370;
18:26:09;2.031;41.372;20.007;27.827;21.371;
18:26:10;3.046;39.602;20.007;27.196;21.373;
18:26:11;4.046;40.701;20.007;27.817;21.373;
18:26:12;5.046;43.876;20.009;28.991;21.374;
18:26:13;6.046;44.490;20.010;28.092;21.376;
18:26:14;7.062;44.463;20.010;28.208;21.376;
18:26:15;8.062;42.821;20.013;28.972;21.378;
18:26:16;9.062;40.615;20.015;27.264;21.380;
18:26:17;10.062;42.340;20.017;27.916;21.380;
18:26:18;11.078;42.084;20.017;28.211;21.380;
18:26:19;12.078;40.477;20.020;27.369;21.383;
18:26:20;13.078;38.585;20.021;26.148;21.383;
18:26:21;14.078;40.188;20.021;26.548;21.383;
18:26:22;15.093;39.827;20.025;26.633;21.385;
18:26:23;16.109;42.215;20.027;27.860;21.385;
18:26:24;17.125;39.295;20.027;27.835;21.385;
18:26:25;18.125;38.580;20.031;26.931;21.387;
18:26:26;19.125;38.909;20.031;27.082;21.386;
18:26:27;20.14;41.006;20.034;28.121;21.388;
18:26:28;21.14;42.828;20.034;28.544;21.388;
18:26:29;22.14;42.334;20.034;28.327;21.388;
18:26:30;23.14;42.357;20.034;28.237;21.388;
18:26:31;24.156;40.269;20.036;27.174;21.390;
18:26:32;25.156;40.505;20.036;27.298;21.390;
18:26:33;26.156;40.695;20.036;26.729;21.391;
18:26:34;27.156;38.246;20.039;26.392;21.394;
18:26:35;28.171;38.981;20.039;27.065;21.396;
18:26:36;29.187;40.724;20.039;27.996;21.396;
18:26:37;30.203;41.601;20.042;28.599;21.397;
18:26:38;31.218;41.441;20.043;28.015;21.399;
18:26:39;32.218;42.344;20.043;28.581;21.399;
18:26:40;33.218;42.392;20.044;28.482;21.399;
18:26:41;34.218;42.939;20.046;28.625;21.401;
18:26:42;35.218;43.181;20.046;28.786;21.401;
18:26:43;36.218;40.661;20.047;28.526;21.402;
18:26:44;37.234;42.107;20.050;28.370;21.405;
18:26:45;38.25;40.307;20.053;26.431;21.405;
18:26:46;39.25;41.413;20.053;26.824;21.405;
18:26:47;40.25;40.662;20.057;27.699;21.409;
18:26:48;41.25;42.223;20.056;28.353;21.409;
18:26:49;42.25;42.658;20.056;28.670;21.409;
18:26:50;43.265;42.768;20.058;28.688;21.412;
18:26:51;44.265;42.068;20.057;28.306;21.412;
18:26:52;45.281;45.355;20.059;28.986;21.416;
18:26:54;46.296;42.262;20.059;26.931;21.416;
18:26:55;47.296;41.346;20.059;26.780;21.417;
18:26:56;48.296;41.390;20.065;27.459;21.421;
18:26:57;49.296;39.163;20.065;27.855;21.421;
18:26:58;50.312;40.033;20.066;27.185;21.424;
18:26:59;51.312;38.244;20.069;25.992;21.428;
18:27:00;52.328;40.934;20.067;27.522;21.431;
18:27:01;53.328;41.674;20.067;27.916;21.431;
18:27:02;54.343;40.864;20.069;27.485;21.433;
18:27:03;55.359;42.993;20.070;27.111;21.436;
18:27:04;56.375;42.540;20.070;27.092;21.436;
18:27:05;57.375;38.858;20.070;27.531;21.438;
18:27:06;58.39;41.574;20.073;28.311;21.441;
18:27:07;59.39;41.072;20.071;28.458;21.441;
18:27:08;60.406;43.101;20.071;28.513;21.441;
18:27:09;61.406;38.975;20.074;26.819;21.444;
18:27:10;62.421;40.576;20.073;27.208;21.444;
18:27:11;63.437;39.344;20.073;26.638;21.444;
18:27:12;64.453;41.955;20.076;28.098;21.446;
18:27:13;65.468;41.104;20.076;27.850;21.446;
18:27:14;66.484;41.911;20.078;26.989;21.450;
18:27:15;67.484;40.735;20.078;27.520;21.450;
18:27:16;68.484;40.498;20.078;26.603;21.450;
18:27:17;69.484;38.766;20.080;27.380;21.454;
18:27:18;70.5;42.075;20.080;28.311;21.454;
18:27:19;71.515;41.864;20.080;28.427;21.454;
18:27:20;72.531;40.846;20.083;27.685;21.457;
18:27:21;73.546;39.470;20.082;26.656;21.457;
18:27:22;74.562;38.510;20.082;25.896;21.457;
18:27:23;75.562;39.708;20.084;27.241;21.459;
18:27:24;76.578;41.153;20.084;28.140;21.461;
18:27:25;77.593;42.439;20.087;27.818;21.463;
18:27:26;78.593;40.825;20.087;26.537;21.463;
18:27:27;79.609;39.265;20.090;26.646;21.465;
18:27:28;80.625;40.763;20.093;27.368;21.467;
18:27:29;81.64;41.512;20.093;28.015;21.469;
18:27:30;82.656;41.065;20.093;27.670;21.469;
18:27:31;83.671;41.051;20.093;27.976;21.470;
18:27:32;84.671;38.703;20.093;26.461;21.472;
18:27:33;85.687;39.580;20.093;26.935;21.472;
18:27:34;86.703;39.034;20.093;27.797;21.473;
18:27:35;87.703;41.978;20.095;28.095;21.476;
18:27:36;88.718;38.314;20.095;26.165;21.476;
18:27:37;89.718;40.950;20.094;27.571;21.477;
18:27:38;90.734;42.056;20.096;28.440;21.479;
18:27:39;91.75;41.716;20.094;27.925;21.478;
18:27:40;92.765;38.591;20.094;26.634;21.478;
18:27:41;93.781;38.700;20.095;26.204;21.480;
18:27:42;94.781;41.651;20.094;28.059;21.481;
18:27:43;95.796;40.272;20.094;27.036;21.481;
18:27:44;96.812;36.427;20.096;25.644;21.482;
18:27:45;97.812;41.015;20.097;27.531;21.482;
18:27:46;98.828;41.122;20.101;26.819;21.483;
18:27:47;99.843;39.367;20.101;26.606;21.483;
18:27:48;100.859;40.958;20.104;27.544;21.485;
18:27:49;101.859;38.819;20.104;26.404;21.485;
18:27:50;102.875;39.430;20.104;26.595;21.485;
18:27:51;103.89;39.632;20.105;26.727;21.486;
18:27:52;104.89;37.670;20.103;25.862;21.486;
18:27:53;105.906;40.458;20.106;27.124;21.487;
18:27:54;106.921;41.510;20.106;26.936;21.487;
18:27:55;107.937;37.030;20.104;26.452;21.488;
18:27:56;108.953;40.817;20.106;27.572;21.490;
18:27:57;109.968;40.528;20.106;26.194;21.490;
18:27:58;110.968;40.112;20.106;27.127;21.490;
18:27:59;111.984;41.071;20.108;27.534;21.492;
18:28:00;113;40.670;20.107;27.430;21.493;
18:28:01;114.015;37.471;20.107;25.205;21.493;
18:28:02;115.031;41.058;20.109;27.452;21.493;
18:28:03;116.031;40.892;20.108;27.821;21.494;
18:28:04;117.046;39.062;20.108;25.821;21.494;
18:28:05;118.062;39.906;20.113;27.148;21.494;
18:28:06;119.078;40.105;20.112;28.004;21.496;
18:28:07;120.093;40.516;20.112;27.886;21.496;
18:28:08;121.109;38.098;20.110;25.423;21.496;
18:28:09;122.109;41.007;20.110;27.782;21.496;
18:28:10;123.125;41.871;20.108;28.144;21.498;
18:28:11;124.14;42.121;20.107;28.140;21.498;
18:28:12;125.156;40.201;20.107;27.352;21.498;
18:28:13;126.171;43.299;20.104;28.660;21.500;
18:28:14;127.171;43.918;20.104;28.040;21.500;
18:28:15;128.171;41.516;20.103;26.905;21.502;
18:28:16;129.187;39.137;20.103;26.962;21.502;
18:28:17;130.187;38.936;20.104;27.049;21.503;
18:28:18;131.203;38.811;20.104;26.639;21.503;
18:28:19;132.203;40.114;20.104;26.795;21.503;
18:28:20;133.218;40.220;20.106;27.004;21.503;
18:28:21;134.234;40.048;20.105;26.790;21.503;
18:28:22;135.25;41.878;20.108;28.112;21.503;
18:28:23;136.265;42.984;20.108;28.465;21.503;
18:28:24;137.281;43.345;20.108;28.640;21.502;
18:28:25;138.281;39.957;20.113;28.464;21.503;
18:28:26;139.281;40.213;20.113;28.269;21.503;
18:28:28;140.281;41.677;20.114;28.492;21.502;
18:28:29;141.296;39.079;20.119;26.954;21.504;
18:28:30;142.312;41.009;20.119;27.654;21.504;
18:28:31;143.328;41.877;20.116;28.243;21.503;
18:28:32;144.343;42.521;20.118;28.683;21.504;
18:28:33;145.343;41.880;20.117;28.907;21.503;
18:28:34;146.343;42.257;20.117;27.996;21.503;
18:28:35;147.359;43.319;20.119;28.572;21.504;
18:28:36;148.359;43.893;20.117;28.734;21.505;
18:28:37;149.375;41.493;20.117;26.927;21.505;
18:28:38;150.39;39.830;20.120;27.041;21.506;
18:28:39;151.406;40.926;20.118;28.031;21.505;
18:28:40;152.406;39.879;20.118;27.062;21.505;
18:28:41;153.421;41.367;20.120;27.663;21.507;
18:28:42;154.437;42.299;20.119;28.608;21.506;
18:28:43;155.453;41.447;20.121;28.251;21.506;
18:28:44;156.468;41.735;20.121;28.055;21.506;
18:28:45;157.468;43.575;20.120;27.430;21.506;
18:28:46;158.484;44.081;20.121;27.773;21.507;
18:28:47;159.5;40.719;20.121;27.085;21.507;
18:28:48;160.5;41.558;20.120;28.017;21.508;
18:28:49;161.515;39.415;20.121;26.990;21.508;
18:28:50;162.515;40.656;20.121;27.084;21.508;
18:28:51;163.531;41.936;20.121;28.229;21.508;
18:28:52;164.546;39.437;20.121;26.402;21.507;
18:28:53;165.546;40.301;20.121;28.202;21.507;
18:28:54;166.546;43.142;20.121;27.423;21.507;
18:28:55;167.562;38.950;20.121;26.845;21.506;
18:28:56;168.578;39.165;20.121;27.151;21.506;
18:28:57;169.593;41.719;20.121;28.313;21.508;
18:28:58;170.593;38.892;20.120;26.465;21.508;
18:28:59;171.609;37.757;20.120;25.468;21.508;
18:29:00;172.625;41.450;20.121;27.962;21.510;
18:29:01;173.625;41.782;20.119;28.003;21.509;
18:29:02;174.625;38.214;20.119;26.228;21.511;
18:29:03;175.64;37.971;20.119;26.321;21.511;
18:29:04;176.64;40.242;20.116;27.462;21.510;
18:29:05;177.656;37.794;20.117;25.856;21.512;
18:29:06;178.671;38.977;20.117;26.847;21.512;
18:29:07;179.687;35.735;20.114;25.418;21.513;
18:29:08;180.703;40.504;20.115;27.242;21.515;
18:29:09;181.703;23.240;20.115;15.956;21.515;
18:29:10;182.703;11.341;20.114;7.850;21.516;
18:29:11;183.703;5.679;20.115;3.919;21.518;
18:29:12;184.718;3.342;20.113;2.298;21.520;
18:29:13;185.718;2.381;20.113;1.609;21.520;
18:29:14;186.734;1.937;20.112;1.293;21.520;
18:29:15;187.75;1.709;20.112;1.136;21.523;
18:29:16;188.765;1.576;20.112;1.039;21.523;
18:29:17;189.765;1.477;20.111;0.982;21.523;
18:29:18;190.765;1.432;20.112;0.949;21.525;
18:29:19;191.765;1.394;20.111;0.921;21.525;
18:29:20;192.781;1.353;20.111;0.904;21.525;
18:29:21;193.796;1.328;20.112;0.886;21.527;
18:29:22;194.812;1.296;20.110;0.870;21.527;
